epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,13734.6,0.24344,0.26808,0.92679,1,0.99626,0.995,0.98568,0.19346,0.27614,0.79426,0.000396262,0.000396262,0.000396262
75,13920.5,0.24298,0.27144,0.93227,0.99843,0.99315,0.995,0.98645,0.17812,0.21771,0.78941,0.000382115,0.000382115,0.000382115
76,14106.5,0.24477,0.27213,0.92463,0.99874,0.99315,0.995,0.98866,0.18435,0.22387,0.79458,0.000367967,0.000367967,0.000367967
77,14291.9,0.24251,0.2724,0.9299,0.99835,1,0.995,0.99027,0.1839,0.21941,0.79776,0.00035382,0.00035382,0.00035382
78,14477.4,0.24796,0.2821,0.92842,0.99844,0.99315,0.995,0.9893,0.19381,0.22037,0.80508,0.000339673,0.000339673,0.000339673
79,14663,0.23278,0.25638,0.92079,0.94363,0.93836,0.98715,0.98275,0.17109,0.28425,0.78688,0.000325526,0.000325526,0.000325526
80,14849.2,0.24045,0.26954,0.92851,0.99317,0.99579,0.995,0.99112,0.17207,0.22764,0.7886,0.000311379,0.000311379,0.000311379
81,15035.4,0.24366,0.26132,0.92039,1,0.95067,0.99107,0.98662,0.1815,0.26828,0.80013,0.000297232,0.000297232,0.000297232
82,15221.6,0.2278,0.25429,0.92996,1,0.99049,0.995,0.99046,0.18557,0.22555,0.80226,0.000283085,0.000283085,0.000283085
83,15408.1,0.2239,0.2492,0.91462,0.99302,0.97385,0.99453,0.99279,0.17015,0.23506,0.78942,0.000268938,0.000268938,0.000268938
84,15594.1,0.23693,0.26201,0.91917,0.99774,0.99315,0.995,0.99146,0.16709,0.22106,0.79295,0.000254791,0.000254791,0.000254791
85,15779.9,0.23229,0.2541,0.92168,1,0.98588,0.995,0.99242,0.16599,0.24961,0.78839,0.000240644,0.000240644,0.000240644
86,15965.8,0.23133,0.25401,0.92463,1,0.99831,0.995,0.99226,0.16828,0.211,0.78606,0.000226497,0.000226497,0.000226497
87,16151.5,0.22772,0.25095,0.91448,0.99756,0.99315,0.995,0.99095,0.1787,0.22805,0.79822,0.000212349,0.000212349,0.000212349
88,16337.1,0.21354,0.24187,0.91053,0.99768,0.99315,0.995,0.99069,0.16927,0.20898,0.79044,0.000198202,0.000198202,0.000198202
89,16522.9,0.21877,0.24776,0.91087,0.99062,0.99315,0.99493,0.99322,0.15955,0.2454,0.78121,0.000184055,0.000184055,0.000184055
90,16708.7,0.21559,0.24109,0.91301,0.99542,0.99315,0.995,0.99271,0.16169,0.21774,0.78726,0.000169908,0.000169908,0.000169908
91,16893.4,0.1622,0.28885,0.87825,0.94166,0.93151,0.98625,0.98458,0.18159,0.30504,0.79159,0.000155761,0.000155761,0.000155761
92,17077.6,0.15995,0.22693,0.87695,1,0.99953,0.995,0.99247,0.17296,0.19005,0.78194,0.000141614,0.000141614,0.000141614
93,17262,0.1594,0.20219,0.87906,1,0.99988,0.995,0.99096,0.19636,0.18888,0.79801,0.000127467,0.000127467,0.000127467
94,17446.2,0.15827,0.18771,0.86783,1,0.99952,0.995,0.99198,0.17351,0.1742,0.78307,0.00011332,0.00011332,0.00011332
95,17630.4,0.15636,0.17799,0.86507,0.99967,1,0.995,0.99,0.19356,0.18559,0.79163,9.91726e-05,9.91726e-05,9.91726e-05
96,17814.3,0.15616,0.1799,0.85292,1,0.99968,0.995,0.99127,0.17175,0.16682,0.77813,8.50255e-05,8.50255e-05,8.50255e-05
97,17998.5,0.14637,0.1756,0.85577,0.99968,1,0.995,0.99017,0.17499,0.16823,0.78294,7.08784e-05,7.08784e-05,7.08784e-05
98,18182.4,0.15272,0.17508,0.86758,0.99959,1,0.995,0.99197,0.17478,0.17189,0.78575,5.67313e-05,5.67313e-05,5.67313e-05
99,18367.1,0.14734,0.17339,0.86575,0.99963,1,0.995,0.99135,0.16776,0.16876,0.7838,4.25842e-05,4.25842e-05,4.25842e-05
100,18551.8,0.14773,0.16734,0.86363,0.99964,1,0.995,0.99208,0.16351,0.16468,0.78007,2.84371e-05,2.84371e-05,2.84371e-05
